user_id,ou_id,ou_title,user_tenure_months,user_employment_status_id,manager_id,training_object_id,training_title,training_type,progress_percent,is_overdue,is_completed,transcript_status_id,assigned_dt,due_dt,completed_dt,reg_num
-7,139,New Users,N,N,N,b25662b8-15d4-4328-a602-17738df96f11,ESP Cable Field Splice Train The Trainer,EVNT,,1,0,65540,2026-01-22 02:08:01.577+05:30,2026-02-21 13:29:00+05:30,N,1
-7,139,New Users,N,N,N,01ea5674-c3cf-421f-9123-18c154a1afd9,Test - creating a material,MTRL,,1,0,65552,2026-01-22 02:08:42.87+05:30,2026-02-21 13:29:00+05:30,N,1
-7,139,New Users,N,N,N,439d53e7-9648-49ff-8f2f-19720ca6dde5,Talent Management: Basics,CRSE,,1,0,65552,2026-01-22 02:08:46.63+05:30,2026-02-21 13:29:00+05:30,N,1
-7,139,New Users,N,N,N,21e9c852-9cf0-4f50-a362-1e7d506d6084,New Hire Module for Training,EVNT,,1,0,65540,2026-01-22 02:07:51.553+05:30,2026-02-21 13:29:00+05:30,N,1
-7,139,New Users,N,N,N,b42d13a5-f7dc-40d1-8a52-5e6b572604df,Product Spotlight - Email Administration,CRSE,,1,0,65552,2026-03-31 01:07:52.57+05:30,2026-04-30 12:29:00+05:30,N,1
-7,139,New Users,N,N,N,15f7178a-7e7b-453f-8aa3-945a9afc353f,15F7178A-7E7B-453F-8AA3-945A9AFC353F,SLCH,,1,0,65538,2024-09-13 16:31:41.157+05:30,2024-09-21 04:29:00+05:30,N,1
-7,139,New Users,N,N,N,06347f8b-c455-42c9-bf07-a3f8b0ef9f50,06347f8b-c455-42c9-bf07-a3f8b0ef9f50,CRSE,,0,0,16,2025-09-12 00:06:02.267+05:30,N,N,1
-7,139,New Users,N,N,N,3bc886c0-2e66-451f-a43e-d72d6cfb0ca5,3BC886C0-2E66-451F-A43E-D72D6CFB0CA5,PRGM,,1,0,65540,2025-04-12 22:18:31.233+05:30,2025-05-02 23:59:00+05:30,N,1
1,139,New Users,N,N,N,ff73bc2b-a6c8-443f-b25f-105bb19556c4,technical-demo-en-scorm1.2,CRSE,,0,0,16,2025-03-18 20:13:08.967+05:30,N,N,1
1,139,New Users,N,N,N,956367db-3a64-4549-87d6-15948adfff05,LMS-201888-C1V1,PRGM,0.0,0,0,32,2026-03-31 16:27:28.073+05:30,N,N,1
1,139,New Users,N,N,N,b25662b8-15d4-4328-a602-17738df96f11,ESP Cable Field Splice Train The Trainer,EVNT,,1,0,65540,2026-01-22 02:04:56.04+05:30,2026-02-21 13:29:00+05:30,N,1
1,139,New Users,N,N,N,01ea5674-c3cf-421f-9123-18c154a1afd9,Test - creating a material,MTRL,,1,0,65552,2026-01-22 02:10:59.913+05:30,2026-02-21 13:29:00+05:30,N,1
1,139,New Users,N,N,N,439d53e7-9648-49ff-8f2f-19720ca6dde5,Talent Management: Basics,CRSE,,1,0,65552,2026-01-22 02:11:06.46+05:30,2026-02-21 13:29:00+05:30,N,1
1,139,New Users,N,N,N,21e9c852-9cf0-4f50-a362-1e7d506d6084,New Hire Module for Training,EVNT,,1,0,65540,2026-01-22 02:04:31.503+05:30,2026-02-21 13:29:00+05:30,N,1
1,139,New Users,N,N,N,d4e87440-536b-4e86-a0b7-355680819977,Communicating Across Cultures,CRSE,0.0,0,0,32,2025-06-13 00:48:45.357+05:30,N,N,1
1,139,New Users,N,N,N,ab4f5f57-0a37-4aaf-9865-3f32693f756e,video 2,VID ,,0,0,16,2025-06-13 00:36:47+05:30,N,N,1
1,139,New Users,N,N,N,92e8f43c-d3f2-43a1-b637-417a4fa00550,LMS-201888-OC1,CRSE,0.0,0,0,32,2026-03-31 16:27:33.327+05:30,N,N,1
1,139,New Users,N,N,N,04313a0a-4bfe-4177-aee3-43f5331e1564,Test w Krakowie,EVNT,,0,0,4,2024-09-11 04:31:20.493+05:30,N,N,1
1,139,New Users,N,N,N,bcae7098-0e7f-405a-8d20-4bc9a90425d9,Raving Fans,MTRL,,0,0,32,2025-06-13 00:50:55.11+05:30,N,N,1
1,139,New Users,N,N,N,aea650a2-0652-4bb7-a1a7-4ed78ece86dc,Smaug's Party Time,SESN,,0,0,16,2025-03-04 15:35:32.26+05:30,N,N,1
1,139,New Users,N,N,N,b42d13a5-f7dc-40d1-8a52-5e6b572604df,Product Spotlight - Email Administration,CRSE,,1,0,65552,2026-03-31 01:00:27.507+05:30,2026-04-30 12:29:00+05:30,N,1
1,139,New Users,N,N,N,b0b625c4-3d74-497a-9776-6626597921fa,LMS-195353-OC1-1901,CRSE,0.0,0,0,32,2026-01-19 20:11:25.32+05:30,N,N,1
1,139,New Users,N,N,N,1582c4ce-3bc5-472c-b8cb-6dcb0978bb08,LMS Overview,EVNT,,0,0,4,2025-11-11 23:33:05.26+05:30,N,N,1
1,139,New Users,N,N,N,28cf0c04-0a99-400c-b669-7916ac57168e,DB - 01481790 - Allgemeine Fahrerunterweisung Pkw,CRSE,0.0,0,0,32,2026-01-17 07:26:42.04+05:30,N,N,1
1,139,New Users,N,N,N,f54c1f3b-5f55-4932-9969-851fe602f61b,F54C1F3B-5F55-4932-9969-851FE602F61B,PRGM,50.0,0,0,32,2025-11-09 16:11:51.287+05:30,N,N,1
