_last_touched_dt_utc,adr_in_progress_training,adr_training_within_curricula,adra_ugrade_to_latest_version,aes_assign_training,aes_register_training,aes_training_with_curricula,apsd_fixed_dt,apsd_relative_custom_field_id,apsd_relative_int,apsd_relative_trigger,apsd_relative_unit,assignment_id,assignment_new_occurence,assignment_processing_frequency,comments,create_dt,created_by_user_id,due_date_custom_field_id,due_date_duration,due_date_duration_unit,due_date_fixed_dt,due_date_type_id,email_option_id,is_active,is_bypass_user_payment,is_dynamic,is_dynamic_reassignment,is_dynamic_removal,is_maintain_progress,is_training_required,object_id,purpose_id,recurrence_annual_dt,recurrence_relative_int,recurrence_relative_only_if_complete,recurrence_relative_trigger,recurrence_relative_unit,recurrence_termination_fixed_dt,recurrence_termination_occurrence_limit,recurrence_termination_type_id,recurrence_type_id,requirement_tag_id,status_id,training_start_dt,workflow_type_id
2024-10-31 01:27:16.173333+05:30,N,N,N,f,f,t,N,N,N,N,N,1,f,1,,2012-10-17 02:06:00+05:30,4,N,-1,N,N,0,1,N,f,f,N,N,f,f,9774f63c-c055-4487-8241-15f6a6ef16e1,0,N,N,N,N,N,N,N,N,1,N,DONE,N,ENRL
2024-10-31 01:27:16.173333+05:30,N,N,N,f,f,t,N,N,N,N,N,2,f,1,,2012-10-23 01:58:00+05:30,4,N,-1,N,N,0,4,N,f,f,N,N,f,f,c2d596f1-a0b0-4ebe-bfb2-74e071af9819,0,N,N,N,N,N,N,N,N,1,N,DONE,N,ENRL
2024-10-31 01:27:16.173333+05:30,N,N,N,f,f,t,N,N,N,N,N,3,f,1,,2012-10-23 02:00:00+05:30,4,N,-1,N,N,0,1,N,f,f,N,N,f,f,140690dc-dad8-472f-8513-300eac402fb3,0,N,N,N,N,N,N,N,N,1,N,DONE,N,ENRL
2024-10-31 01:27:16.173333+05:30,N,N,N,f,f,t,N,N,N,N,N,4,f,1,,2012-10-23 02:01:00+05:30,4,N,-1,N,N,0,1,N,f,f,N,N,f,f,828cc97d-fd2c-45df-a25c-c8cf92da7408,0,N,N,N,N,N,N,N,N,1,N,DONE,N,ENRL
2024-10-31 01:27:16.173333+05:30,N,N,N,f,f,t,N,N,N,N,N,5,f,1,,2012-10-23 02:08:00+05:30,4,N,-1,N,N,0,1,N,f,f,N,N,f,f,e302910b-2aab-4e5d-9331-4088209528a9,0,N,N,N,N,N,N,N,N,1,N,DONE,N,ENRL
2024-10-31 01:27:16.173333+05:30,N,N,N,f,f,t,N,N,N,N,N,6,f,1,,2012-10-23 02:12:00+05:30,4,N,-1,N,N,0,1,N,f,f,N,N,f,f,ce784027-ab39-44b5-b711-e04d01b0f262,0,N,N,N,N,N,N,N,N,1,N,DONE,N,ENRL
2024-10-31 01:27:16.173333+05:30,N,N,N,f,f,t,N,N,N,N,N,7,f,1,,2012-10-23 02:16:00+05:30,4,N,-1,N,N,0,1,N,f,f,N,N,f,f,2b50a6e3-d445-4af4-878f-b420e6886fa8,0,N,N,N,N,N,N,N,N,1,N,DONE,N,ENRL
2024-10-31 01:27:16.173333+05:30,N,N,N,f,f,t,N,N,N,N,N,8,f,1,,2012-10-23 02:28:00+05:30,4,N,-1,N,N,0,1,N,f,f,N,N,f,f,a5c78a2d-65eb-4460-9b87-e4d115c37aec,0,N,N,N,N,N,N,N,N,1,N,DONE,N,ENRL
2024-10-31 01:27:16.173333+05:30,N,N,N,f,f,t,N,N,N,N,N,9,f,1,,2012-10-23 02:36:00+05:30,4,N,-1,N,N,0,1,N,f,f,N,N,f,f,107a8b3e-cb89-40d4-90e6-0142ef811b72,0,N,N,N,N,N,N,N,N,1,N,DONE,N,ENRL
2024-10-31 01:27:16.173333+05:30,N,N,N,f,f,t,N,N,N,N,N,10,f,1,,2012-10-23 02:37:00+05:30,4,N,-1,N,N,0,1,N,f,f,N,N,f,f,f579a3a1-e43b-4e1d-812c-b00070d58594,0,N,N,N,N,N,N,N,N,1,N,DONE,N,ENRL
2024-10-31 01:27:16.173333+05:30,N,N,N,f,f,t,N,N,N,N,N,11,f,1,,2012-10-25 20:12:00+05:30,4,N,30,dd,N,2,1,f,t,t,N,N,f,f,1e73eb1e-9795-4f33-87ce-b14180c35861,0,N,1,f,3,yy,N,3,3,3,N,DONE,N,ENRL
2024-10-31 01:27:16.173333+05:30,N,N,N,f,f,t,N,N,N,N,N,12,f,1,,2012-10-25 20:14:00+05:30,4,N,30,dd,N,2,1,N,t,f,N,N,f,f,83a7f5c5-9e05-4cc1-aad6-ad0b9d4c1f9f,0,N,N,N,N,N,N,N,N,1,N,DONE,N,ENRL
