_last_touched_dt_utc,browser_compatibility_mode,classification_id,course_code,deactivation_dt,effective_eval_01_id,effective_eval_02_id,effective_eval_03_id,email_option_id,event_max_enrollment,event_min_enrollment,gcid,is_available_offline,is_available_offline_network,is_excluded_from_recommendations,is_latest_training_version,is_multi_assignment_allowed,is_multi_request_allowed,is_multi_request_orig_approval_applied,lo_active,lo_admin_session_selection_allowed,lo_adv_reg_deadline,lo_billing_entity,lo_connect_item_type_id,lo_contact,lo_contact_user_ref,lo_create_dt,lo_created_by_user_id,lo_credit,lo_currency_id,lo_end_dt,lo_end_registration,lo_eval_01_override,lo_eval_02_override,lo_eval_03_override,lo_hours,lo_instructor_id,lo_interest_tracking_allowed,lo_is_mobile_compatible,lo_is_part_of_curriculum,lo_language_id,lo_location_id,lo_locator,lo_mastery_score,lo_material_type_id,lo_max_score,lo_min_parts,lo_modified_by_user_id,lo_modified_dt,lo_multiple_sessions_allowed,lo_no_show,lo_object_type,lo_owner_names,lo_price,lo_product_code,lo_provider_id,lo_publication_id,lo_reg_max,lo_reg_min,lo_seats_available,lo_seats_taken,lo_seats_total,lo_secondary_training_provider_id,lo_session_selection_allowed,lo_size,lo_start_dt,lo_status_type,lo_test_attempts_allowed,lo_test_graders_ids,lo_test_max_entries,lo_test_max_time_allowed,lo_timezone_id,lo_total_cost,lo_total_users_requests,lo_version,lo_waitlist_allowed,lo_waitlist_auto_manage,lo_waitlist_auto_register,lo_withdraw_dt,lo_withdrawal_penalty,object_id,online_course_protocol_id,proficiency_level,provider_ref,publication_create_dt,publication_created_by_user_id,ref,related_lo_id,source_object_id,thumbnail_location,total_sco,training_version_effective_dt,training_version_end_dt,training_version_start_dt
2026-03-31 02:34:59.036666+05:30,N,N,SV-000963-1.0,N,4215,4217,4221,0,N,N,N,f,f,f,t,f,f,f,Y,N,N,N,N,N,N,2025-03-23 10:22:44.11+05:30,505,0.00,1,N,N,N,N,N,2.00,N,f,f,f,1,N,N,74,N,N,N,295,2025-10-24 01:32:00+05:30,f,0.0000,TEST,N,0.0000,N,11111111-1111-1111-1111-111111111111,N,N,N,N,N,N,N,N,N,N,APPR,0,TRN1000195,0,0,N,N,3,1.0,f,f,f,N,0.0000,913507f6-64bf-47e6-8593-0055f33feeef,N,N,N,N,N,913507F6-64BF-47E6-8593-0055F33FEEEF,N,913507f6-64bf-47e6-8593-0055f33feeef,N,N,N,N,N
2025-06-05 16:37:29.803333+05:30,N,N,N,N,N,N,N,2,N,N,N,f,f,f,t,f,f,f,Y,N,N,N,N,N,N,2025-06-05 16:01:01.707+05:30,455,0.00,1,N,N,N,N,N,0.00,N,f,f,f,1,N,N,N,N,N,N,455,2025-06-05 16:01:00+05:30,f,0.0000,EXTL,N,0.0000,N,33fa5794-2e4b-4da9-829b-951c28eb0961,N,N,N,N,N,N,N,N,0.00,2025-06-05 05:30:00+05:30,APPR,N,N,N,0,N,N,1,1.0,f,f,f,N,0.0000,b3aa162b-5f74-4b6e-bbd2-005ad7d7224d,N,N,N,N,N,b3aa162b-5f74-4b6e-bbd2-005ad7d7224d,N,b3aa162b-5f74-4b6e-bbd2-005ad7d7224d,N,N,N,N,N
2025-10-22 04:12:49.266666+05:30,N,N,N,N,N,N,N,0,N,N,N,f,f,f,f,f,f,f,Y,N,N,N,N,N,N,2025-10-22 03:38:12.587+05:30,265,1.00,1,2025-10-22 12:30:00+05:30,N,N,N,N,0.50,N,f,f,f,1,N,N,0,N,0,N,265,2025-10-22 03:38:00+05:30,t,0.0000,EXTL,N,0.0000,N,33fa5794-2e4b-4da9-829b-951c28eb0961,N,N,N,N,N,N,N,N,0.00,2025-10-21 12:30:00+05:30,TENT,N,N,N,0,N,N,1,,f,f,f,N,0.0000,95991c60-ea90-49ab-a699-0095049f5079,N,N,test,N,N,95991C60-EA90-49AB-A699-0095049F5079,N,95991c60-ea90-49ab-a699-0095049f5079,N,N,N,N,N
2026-02-28 20:27:44.223333+05:30,N,N,SV-001110-1.0,N,2,N,N,2,N,N,N,f,f,f,t,f,f,f,Y,N,N,N,N,N,N,2025-05-19 15:25:08.067+05:30,373,0.00,1,N,N,N,N,N,0.00,N,f,f,t,1,N,N,100,4,100,N,373,2025-05-19 15:25:00+05:30,f,0.0000,MTRL,N,0.0000,N,ce86f435-1db3-449c-836d-28ef3530e086,N,N,N,N,N,N,N,N,0.00,N,APPR,N,N,N,0,N,N,25,1.0,f,f,f,N,0.0000,5d88f55c-11ba-43e5-82b6-00d6bce431a2,N,N,Compliance_Employee FMLA Rights,N,N,5D88F55C-11BA-43E5-82B6-00D6BCE431A2,N,5d88f55c-11ba-43e5-82b6-00d6bce431a2,N,N,N,N,N
2026-02-28 20:27:44.223333+05:30,N,N,SV-001427-3.0,N,2,N,N,2,N,N,N,f,f,f,t,f,f,f,Y,N,N,N,N,N,N,2025-09-13 05:20:32.927+05:30,902,0.00,1,N,N,2,N,N,2.00,N,f,f,f,1,N,N,N,7,N,N,902,2025-09-13 05:21:00+05:30,f,0.0000,MTRL,N,0.0000,N,ce3c2f55-a153-47b6-8d16-8ddc1b3543f9,N,N,N,N,N,N,N,N,N,N,APPR,N,N,N,0,N,N,N,3.0,f,f,f,N,0.0000,d6c5bc1a-5480-4baf-8710-00e3786555e7,N,N,N,N,N,D6C5BC1A-5480-4BAF-8710-00E3786555E7,51c17c14-aa08-4f08-a6f4-5d616e89a250,00000000-0000-0000-0000-000000000000,N,N,2025-09-13 05:20:32.027+05:30,N,N
2026-02-28 20:27:44.223333+05:30,N,4608461a-7a8a-4820-aef6-df6e312a559b,SV-001969,N,2,N,265,0,5,0,N,f,f,f,t,f,f,f,Y,t,N,N,N,"Mary, Sim",TRN1000152,2026-02-05 15:42:10.397+05:30,455,0.00,1,N,N,N,N,N,0.00,N,t,t,f,1,N,N,0,N,0,N,455,2026-02-05 16:09:00+05:30,t,0.0000,EVNT,N,0.0000,N,eedb2726-ee84-4943-86e8-2659c00544e9,N,10,0,10,0,10,N,t,0.00,N,APPR,N,N,N,0,N,0.0000,N,,t,t,f,N,0.0000,7c13b547-3456-46f4-b14d-00f26b9f81b1,N,N,2314,N,N,7C13B547-3456-46F4-B14D-00F26B9F81B1,N,7c13b547-3456-46f4-b14d-00f26b9f81b1,N,N,N,N,N
2026-02-28 20:27:44.223333+05:30,N,N,001977-1.0,N,2,N,N,2,N,N,N,f,f,f,t,f,f,f,Y,N,N,N,N,N,N,2026-02-10 16:33:04.55+05:30,455,0.00,1,N,N,N,N,N,0.00,N,f,f,f,1,N,N,N,1,N,N,455,2026-02-10 16:33:00+05:30,f,0.0000,MTRL,N,0.0000,N,198546ae-bd9a-46a0-a95f-2549f8b4dbe9,N,N,N,N,N,N,N,N,N,N,APPR,N,N,N,0,N,N,N,1.0,f,f,f,N,0.0000,4d4deb87-1271-4f99-882d-00f7b58c3dfb,N,N,N,N,N,4D4DEB87-1271-4F99-882D-00F7B58C3DFB,N,00000000-0000-0000-0000-000000000000,N,N,N,N,N
2026-03-30 20:27:54.696666+05:30,N,N,SV-000504,N,2,N,908,0,N,N,N,f,f,f,t,f,f,f,Y,N,N,N,N,N,N,2024-09-30 05:51:31.14+05:30,259,0.00,1,N,N,N,N,N,0.00,N,f,f,t,1,N,N,0,N,0,N,1008,2026-03-13 23:48:00+05:30,t,0.0000,VID ,N,0.0000,N,08fc1125-8cdc-474e-9942-b277847ca28e,N,N,N,N,N,N,N,N,0.55,N,APPR,N,N,N,0,N,N,1,,f,f,f,N,0.0000,0fc9106c-d3f6-45b9-9a45-00ffff664e32,N,N,,N,N,0FC9106C-D3F6-45B9-9A45-00FFFF664E32,N,0fc9106c-d3f6-45b9-9a45-00ffff664e32,N,N,N,N,N
2026-02-28 20:27:44.223333+05:30,N,N,SV-000625-1.0,N,2,N,N,1,N,N,N,f,f,f,f,t,t,t,Y,N,N,N,N,N,N,2024-10-18 07:52:34.353+05:30,259,0.00,1,N,N,N,N,N,1.25,N,f,f,f,1,N,N,N,N,N,N,259,2024-10-31 09:59:00+05:30,f,0.0000,PRGM,"ARAMAKI, MIKI",0.0000,N,08fc1125-8cdc-474e-9942-b277847ca28e,N,N,N,N,N,N,N,N,0.55,N,EXPR,N,N,N,0,N,N,N,1.0,f,f,f,N,0.0000,3dcd3860-0f71-461d-9845-01028591d364,N,N,N,N,N,3DCD3860-0F71-461D-9845-01028591D364,3dcd3860-0f71-461d-9845-01028591d364,00000000-0000-0000-0000-000000000000,N,N,2024-10-18 07:52:34.353+05:30,N,N
2026-02-28 20:27:44.223333+05:30,IE=EmulateIE9,N,N,N,208,N,N,0,N,N,N,f,f,f,t,f,f,f,Y,N,N,N,N,N,N,2012-10-22 18:50:05.503+05:30,1,0.00,1,N,N,208,N,N,1.00,N,f,f,t,1,N,N,0,N,0,N,505,2024-10-22 13:33:00+05:30,f,0.0000,CRSE,N,30.0000,N,3631af5f-ecfe-4825-aebf-ab0fdfa86c05,N,N,N,N,N,N,N,N,0.00,N,APPR,N,N,N,0,N,0.0000,4,3.5,f,f,f,N,0.0000,875e042c-34f6-4570-947e-0127ab482641,AICC,N,mo_bwrd_a04_dt_enus,N,N,875E042C-34F6-4570-947E-0127AB482641,N,875e042c-34f6-4570-947e-0127ab482641,N,1,N,N,N
