_last_touched_dt_utc,culture_id,description,is_default,object_type
2024-10-31 01:27:06.813333+05:30,1,Action Step,t,AS  
2024-10-31 01:27:06.813333+05:30,2,Action Step,f,AS  
2026-01-10 19:45:53.423333+05:30,3,Étape de l'activité,f,AS  
2024-10-31 01:27:06.813333+05:30,4,Aktionsschritt,f,AS  
2024-10-31 01:27:06.813333+05:30,5,Действие,f,AS  
2026-01-10 19:45:53.423333+05:30,6,アクション ステップ,f,AS  
2024-10-31 01:27:06.813333+05:30,7,操作步骤,f,AS  
2026-01-10 19:45:53.423333+05:30,8,Action Step,f,AS  
2026-01-10 19:45:53.423333+05:30,9,Action Step,f,AS  
2024-10-31 01:27:06.813333+05:30,10,Azione,f,AS  
2024-10-31 01:27:06.813333+05:30,11,Akcja rozwojowa,f,AS  
2024-10-31 01:27:06.813333+05:30,12,Etapa da Ação,f,AS  
2024-10-31 01:27:06.813333+05:30,13,Étape,f,AS  
2024-10-31 01:27:06.813333+05:30,14,Paso de acción,f,AS  
2024-10-31 01:27:06.813333+05:30,15,Actividad de Desarrollo,f,AS  
2026-01-10 19:45:53.423333+05:30,16,Passo de Ação,f,AS  
2024-10-31 01:27:06.813333+05:30,17,ขั้นตอนการดำเนินการ,f,AS  
2024-10-31 01:27:06.813333+05:30,18,Actiestap,f,AS  
2024-10-31 01:27:06.813333+05:30,19,Aksiyon Adımı,f,AS  
2026-01-10 19:45:53.423333+05:30,20,Etapă acţiune,f,AS  
2024-10-31 01:27:06.813333+05:30,21,Akční krok,f,AS  
2024-10-31 01:27:06.813333+05:30,22,Darbības solis,f,AS  
2024-10-31 01:27:06.813333+05:30,23,Veiksmo žingsnis,f,AS  
2024-10-31 01:27:06.813333+05:30,24,Handlingstrinn,f,AS  
2024-10-31 01:27:06.813333+05:30,25,Åtgärdssteg,f,AS  
2024-10-31 01:27:06.813333+05:30,26,Aktivitet,f,AS  
2026-03-14 16:47:02.4+05:30,27,שלב פעולה,f,AS  
2026-03-14 16:47:02.4+05:30,28,الخطوة الإجرائية,f,AS  
2026-03-14 16:47:02.4+05:30,29,Βήμα ενέργειας,f,as  
2026-03-14 16:47:02.4+05:30,30,할 일 단계,f,as  
2026-03-14 16:47:02.4+05:30,31,Стъпка за действие,f,as  
2026-03-14 16:47:02.4+05:30,32,Крок дії,f,as  
2026-03-14 16:47:02.4+05:30,33,Langkah Tindakan,f,as  
2026-01-10 19:45:53.423333+05:30,34,行動步驟,f,as  
2026-03-14 16:47:02.4+05:30,35,Action Step,f,as  
2026-03-14 16:47:02.4+05:30,36,Toimivaihe,f,as  
2026-03-14 16:47:02.4+05:30,37,Bước hành động,f,as  
2026-03-14 16:47:02.4+05:30,38,Langkah Tindakan,f,as  
2026-03-14 16:47:02.4+05:30,39,Műveleti lépés,f,as  
2026-03-14 16:47:02.4+05:30,40,Korak radnje,f,as  
2026-03-14 16:47:02.4+05:30,41,Krok činnosti,f,as  
2026-03-14 16:47:02.4+05:30,42,Korak dejanja,f,as  
2026-03-14 16:47:02.4+05:30,43,Action Step,f,AS  
2026-03-14 16:47:02.4+05:30,44,Action Step,f,AS  
2026-03-14 16:47:02.4+05:30,46,Action Step,f,AS  
2026-03-14 16:47:02.4+05:30,47,Toimingu samm,f,as  
2026-03-14 16:47:02.4+05:30,48,Korak radnje,f,as  
2026-03-14 16:47:02.4+05:30,49,Action Step,f,AS  
2026-03-14 16:47:02.4+05:30,50,Action Step,f,AS  
2024-10-31 01:27:06.813333+05:30,51,Action Step,f,AS  
2024-10-31 01:27:06.813333+05:30,52,Action Step,f,AS  
2024-10-31 01:27:06.813333+05:30,53,Action Step,f,AS  
2024-10-31 01:27:06.813333+05:30,54,Action Step,f,AS  
2024-10-31 01:27:06.813333+05:30,55,Action Step,f,AS  
2024-10-31 01:27:06.813333+05:30,56,Action Step,f,AS  
2026-03-14 16:47:02.4+05:30,57,Чекори за акција,f,AS  
2024-10-31 01:27:06.813333+05:30,58,Action Step,f,AS  
2024-10-31 01:27:06.813333+05:30,59,Action Step,f,AS  
2024-10-31 01:27:06.813333+05:30,60,Action Step,f,AS  
2024-10-31 01:27:06.813333+05:30,61,Action Step,f,AS  
2024-10-31 01:27:06.813333+05:30,62,Action Step,f,AS  
2026-03-14 16:47:02.4+05:30,63,Գործողության փուլ,f,as  
2024-10-31 01:27:06.813333+05:30,64,Action Step,f,AS  
2026-03-14 16:47:02.4+05:30,65,Ekintza-urratsa,f,as  
2026-03-14 16:47:02.4+05:30,66,Pas d'acció,f,as  
2026-03-14 16:47:02.4+05:30,67,Action Step,f,AS  
2026-01-10 19:45:53.423333+05:30,68,কার্যকলাপের ধাপ,f,as  
2024-10-31 01:27:06.813333+05:30,1,Assessment,t,ASMT
2024-10-31 01:27:06.813333+05:30,2,Assessment,f,ASMT
2024-10-31 01:27:06.813333+05:30,3,Évaluation,f,ASMT
2024-10-31 01:27:06.813333+05:30,4,Test,f,ASMT
2024-10-31 01:27:06.813333+05:30,5,Оценка,f,ASMT
2024-10-31 01:27:06.813333+05:30,6,テスト,f,ASMT
2024-10-31 01:27:06.813333+05:30,7,评估,f,ASMT
2026-01-10 19:45:53.423333+05:30,8,Assessment,f,ASMT
2026-01-10 19:45:53.423333+05:30,9,Assessment,f,ASMT
2024-10-31 01:27:06.813333+05:30,10,Valutazione,f,ASMT
2024-10-31 01:27:06.813333+05:30,11,Ocena,f,ASMT
2024-10-31 01:27:06.813333+05:30,12,Avaliação,f,ASMT
