_last_touched_dt_utc,approver_exempt_comment,completed_sco,exempt_approver_reason_id,exempt_comment,exempt_dt,exempt_reason_id,exemptor_id,is_assigned,is_express_class,is_hidden_in_ui,is_latest_reg_num,is_latest_version_on_transcript,is_removed,is_required,is_standalone,is_suggested,license_expiration_dt,license_id,license_status_id,reg_num,training_purpose_category_id,training_purpose_id,transc_object_id,transc_user_id,transcript_badge_id,transcript_badge_points,transcript_training_points,user_lo_assigned_comments,user_lo_assigned_dt,user_lo_assignor_id,user_lo_available_dt,user_lo_cancellation_reason,user_lo_cancellation_reason_id,user_lo_comment,user_lo_comp_dt,user_lo_create_dt,user_lo_delivery_method_id,user_lo_equivalency_type,user_lo_equivalent_object_id,user_lo_from_training_plan,user_lo_last_access_dt,user_lo_last_action_dt,user_lo_last_modified_dt,user_lo_min_due_date,user_lo_minutes_participated,user_lo_pass,user_lo_pct_complete,user_lo_reg_dt,user_lo_removed_comments,user_lo_removed_dt,user_lo_removed_reason_id,user_lo_remover_id,user_lo_score,user_lo_start_dt,user_lo_status_id,user_lo_training_link_expiration_date,user_lo_withdrawal_date,user_lo_withdrawal_reason,user_lo_withdrawal_reason_id
2026-02-21 16:04:15.58+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,b25662b8-15d4-4328-a602-17738df96f11,-7,N,N,N,Initial Request,2026-01-22 02:08:01.577+05:30,1008,N,N,N,N,N,2026-01-22 02:08:00+05:30,2,N,N,0,N,2026-01-22 02:08:02.543+05:30,2026-02-21 14:01:00+05:30,2026-02-21 13:29:00+05:30,0,N,N,N,N,N,N,N,N,N,65540,N,N,N,N
2026-02-21 16:04:15.58+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,01ea5674-c3cf-421f-9123-18c154a1afd9,-7,N,N,N,Initial Request,2026-01-22 02:08:42.87+05:30,1008,N,N,N,N,N,2026-01-22 02:09:00+05:30,2,N,N,0,N,2026-01-22 02:08:43.577+05:30,2026-02-21 14:01:00+05:30,2026-02-21 13:29:00+05:30,0,N,N,2026-01-22 02:08:43.483+05:30,N,N,N,N,N,N,65552,N,N,N,N
2026-02-21 16:04:15.58+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,439d53e7-9648-49ff-8f2f-19720ca6dde5,-7,N,N,N,Initial Request,2026-01-22 02:08:46.63+05:30,1008,N,N,N,N,N,2026-01-22 02:09:00+05:30,2,N,N,0,N,2026-01-22 02:08:47.27+05:30,2026-02-21 14:01:00+05:30,2026-02-21 13:29:00+05:30,0,N,N,2026-01-22 02:08:46.95+05:30,N,N,N,N,0,N,65552,N,N,N,N
2026-02-21 16:04:15.58+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,21e9c852-9cf0-4f50-a362-1e7d506d6084,-7,N,N,N,Initial Request,2026-01-22 02:07:51.553+05:30,1008,N,N,N,N,N,2026-01-22 02:08:00+05:30,2,N,N,0,N,2026-01-22 02:07:51.933+05:30,2026-02-21 14:01:00+05:30,2026-02-21 13:29:00+05:30,0,N,N,N,N,N,N,N,N,N,65540,N,N,N,N
2026-04-30 14:13:42.756666+05:30,N,0,N,N,N,N,N,t,f,f,t,t,t,f,t,f,N,N,N,1,N,N,b42d13a5-f7dc-40d1-8a52-5e6b572604df,-7,N,N,N,Initial Request,2026-03-31 01:07:52.57+05:30,119,N,N,N,N,N,2026-03-31 01:08:00+05:30,2,N,N,0,N,2026-03-31 01:14:29.93+05:30,2026-04-30 13:01:00+05:30,2026-04-30 12:29:00+05:30,0,N,N,2026-03-31 01:07:52.823+05:30,Proxy Dynamic Removal,2026-03-31 01:14:29.93+05:30,0,119,0,N,65552,N,N,N,N
2024-10-31 01:27:19.203333+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,15f7178a-7e7b-453f-8aa3-945a9afc353f,-7,N,N,N,Initial Request,2024-09-13 16:31:41.157+05:30,314,N,N,N,N,N,2024-09-13 16:32:00+05:30,2,N,N,0,N,2024-09-13 16:31:41.157+05:30,2024-09-21 13:01:00+05:30,2024-09-21 04:29:00+05:30,0,N,N,N,N,N,N,N,N,N,65538,N,N,N,N
2025-09-12 01:09:00.36+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,06347f8b-c455-42c9-bf07-a3f8b0ef9f50,-7,N,N,N,Initial Request,2025-09-12 00:06:02.267+05:30,898,N,N,N,N,N,2025-09-12 00:06:00+05:30,2,N,N,0,N,2025-09-12 00:06:05.757+05:30,2025-09-12 00:06:00+05:30,N,0,N,N,2025-09-12 00:06:05.367+05:30,N,N,N,N,0,N,16,N,N,N,N
2025-05-03 15:01:14.236666+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,3bc886c0-2e66-451f-a43e-d72d6cfb0ca5,-7,N,N,N,Initial Request,2025-04-12 22:18:31.233+05:30,176,N,N,N,N,N,2025-04-12 22:19:00+05:30,2,N,N,0,N,2025-04-12 22:18:31.233+05:30,2025-05-03 13:01:00+05:30,2025-05-02 23:59:00+05:30,0,N,N,N,N,N,N,N,N,N,65540,N,N,N,N
2026-03-19 13:52:39.896666+05:30,N,0,N,N,N,N,N,t,f,t,t,t,f,f,t,f,N,N,N,1,N,N,ff73bc2b-a6c8-443f-b25f-105bb19556c4,1,N,N,N,Initial Request,2025-03-18 20:13:08.967+05:30,389,N,N,N,N,N,2025-03-18 20:13:00+05:30,2,N,N,0,N,2025-03-18 20:13:08.967+05:30,2025-03-18 20:13:00+05:30,N,0,N,N,2025-03-18 20:13:08.967+05:30,N,N,N,N,0,N,16,N,N,N,N
2026-03-31 17:42:04.303333+05:30,N,0,N,N,N,N,N,f,f,f,t,t,f,f,t,f,N,N,N,1,N,N,956367db-3a64-4549-87d6-15948adfff05,1,N,N,N,N,2026-03-31 16:27:28.073+05:30,0,N,N,N,N,N,2026-03-31 16:27:00+05:30,1,N,N,0,N,2026-03-31 16:27:32.783+05:30,2026-03-31 16:28:00+05:30,N,0,N,0.00,2026-03-31 16:27:31.867+05:30,N,N,N,N,N,N,32,N,N,N,N
2026-02-21 16:04:15.58+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,b25662b8-15d4-4328-a602-17738df96f11,1,N,N,N,Initial Request,2026-01-22 02:04:56.04+05:30,1008,N,N,N,N,N,2026-01-22 02:05:00+05:30,2,N,N,0,N,2026-01-22 02:04:56.36+05:30,2026-02-21 14:01:00+05:30,2026-02-21 13:29:00+05:30,0,N,N,N,N,N,N,N,N,N,65540,N,N,N,N
2026-02-21 16:04:15.58+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,01ea5674-c3cf-421f-9123-18c154a1afd9,1,N,N,N,Initial Request,2026-01-22 02:10:59.913+05:30,1008,N,N,N,N,N,2026-01-22 02:11:00+05:30,2,N,N,0,N,2026-01-22 02:11:00.39+05:30,2026-02-21 14:01:00+05:30,2026-02-21 13:29:00+05:30,0,N,N,2026-01-22 02:11:00.33+05:30,N,N,N,N,N,N,65552,N,N,N,N
2026-02-21 16:04:15.58+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,439d53e7-9648-49ff-8f2f-19720ca6dde5,1,N,N,N,Initial Request,2026-01-22 02:11:06.46+05:30,1008,N,N,N,N,N,2026-01-22 02:11:00+05:30,2,N,N,0,N,2026-01-22 02:11:06.953+05:30,2026-02-21 14:01:00+05:30,2026-02-21 13:29:00+05:30,0,N,N,2026-01-22 02:11:06.737+05:30,N,N,N,N,0,N,65552,N,N,N,N
2026-02-21 16:04:15.58+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,21e9c852-9cf0-4f50-a362-1e7d506d6084,1,N,N,N,Initial Request,2026-01-22 02:04:31.503+05:30,1008,N,N,N,N,N,2026-01-22 02:05:00+05:30,2,N,N,0,N,2026-01-22 02:04:31.807+05:30,2026-02-21 14:01:00+05:30,2026-02-21 13:29:00+05:30,0,N,N,N,N,N,N,N,N,N,65540,N,N,N,N
2025-06-13 01:30:59.01+05:30,N,0,N,N,N,N,N,f,f,f,t,t,f,f,t,f,N,N,N,1,N,N,d4e87440-536b-4e86-a0b7-355680819977,1,N,N,N,N,2025-06-13 00:48:45.357+05:30,0,N,N,N,N,N,2025-06-13 00:49:00+05:30,1,N,N,0,2025-06-13 00:50:00+05:30,2025-06-13 00:48:50.673+05:30,2025-06-13 00:49:00+05:30,N,0,N,0.00,2025-06-13 00:48:47.633+05:30,N,N,N,N,0,2025-06-13 00:48:50.673+05:30,32,N,N,N,N
2025-06-13 01:30:59.01+05:30,N,0,N,N,N,N,N,f,f,f,t,t,f,f,t,f,N,N,N,1,N,N,ab4f5f57-0a37-4aaf-9865-3f32693f756e,1,N,N,N,N,2025-06-13 00:36:47+05:30,0,N,N,N,N,N,2025-06-13 00:37:00+05:30,1,N,N,0,N,2025-06-13 00:36:51.4+05:30,2025-06-13 00:37:00+05:30,N,0,N,N,2025-06-13 00:36:50.9+05:30,N,N,N,N,N,N,16,N,N,N,N
2026-04-03 13:41:48.18+05:30,N,0,N,N,N,N,N,f,f,f,t,t,f,f,f,f,N,N,N,1,N,N,92e8f43c-d3f2-43a1-b637-417a4fa00550,1,N,N,N,N,2026-03-31 16:27:33.327+05:30,0,N,N,N,N,N,2026-03-31 16:28:00+05:30,1,N,N,0,2026-04-03 12:11:00+05:30,2026-03-31 16:28:21.737+05:30,2026-04-03 12:08:00+05:30,N,7,N,0.00,2026-03-31 16:27:34.063+05:30,N,N,N,N,0,2026-03-31 16:28:21.737+05:30,32,N,N,N,N
2024-10-31 01:27:19.203333+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,04313a0a-4bfe-4177-aee3-43f5331e1564,1,N,N,N,Initial Request,2024-09-11 04:31:20.493+05:30,306,N,N,N,N,N,2024-09-11 04:31:00+05:30,2,N,N,0,N,2024-09-11 04:31:20.493+05:30,2024-09-11 04:31:00+05:30,N,0,N,N,N,N,N,N,N,N,N,4,N,N,N,N
2025-06-13 01:30:59.01+05:30,N,0,N,N,N,N,N,f,f,f,t,t,f,f,t,f,N,N,N,1,N,N,bcae7098-0e7f-405a-8d20-4bc9a90425d9,1,N,N,N,N,2025-06-13 00:50:55.11+05:30,0,N,N,N,N,N,2025-06-13 00:51:00+05:30,1,N,N,0,N,2025-06-13 00:50:59.903+05:30,2025-06-13 00:51:00+05:30,N,0,N,N,2025-06-13 00:50:57.797+05:30,N,N,N,N,N,2025-06-13 00:50:59.903+05:30,32,N,N,N,N
2026-03-05 13:10:14.046666+05:30,N,0,N,N,N,N,N,t,f,t,t,t,f,f,t,f,N,N,N,1,N,N,aea650a2-0652-4bb7-a1a7-4ed78ece86dc,1,N,N,N,Initial Request,2025-03-04 15:35:32.26+05:30,389,N,N,N,N,N,2025-03-04 15:36:00+05:30,6,N,N,0,N,2025-03-04 15:35:36.943+05:30,2025-03-04 15:36:00+05:30,N,0,N,N,2025-03-04 15:35:35.68+05:30,N,N,N,N,N,2025-04-10 13:30:00+05:30,16,N,N,N,N
2026-04-30 14:13:42.756666+05:30,N,0,N,N,N,N,N,t,f,f,t,t,t,f,t,f,N,N,N,1,N,N,b42d13a5-f7dc-40d1-8a52-5e6b572604df,1,N,N,N,Initial Request,2026-03-31 01:00:27.507+05:30,119,N,N,N,N,N,2026-03-31 01:00:00+05:30,2,N,N,0,N,2026-03-31 01:14:29.93+05:30,2026-04-30 13:01:00+05:30,2026-04-30 12:29:00+05:30,0,N,N,2026-03-31 01:00:27.89+05:30,Proxy Dynamic Removal,2026-03-31 01:14:29.93+05:30,0,119,0,N,65552,N,N,N,N
2026-01-21 00:20:39.573333+05:30,N,0,N,N,N,N,N,f,f,f,t,t,f,f,f,f,N,N,N,1,N,N,b0b625c4-3d74-497a-9776-6626597921fa,1,N,N,N,N,2026-01-19 20:11:25.32+05:30,0,N,N,N,N,N,2026-01-19 20:11:00+05:30,1,N,N,0,2026-01-20 23:30:00+05:30,2026-01-19 20:11:47.597+05:30,2026-01-20 23:23:00+05:30,N,1401,N,0.00,2026-01-19 20:11:26.07+05:30,N,N,N,N,0,2026-01-19 20:11:47.597+05:30,32,N,N,N,N
2025-11-11 23:36:14.043333+05:30,N,0,N,N,N,N,N,f,f,f,t,t,f,f,f,f,N,N,N,1,N,N,1582c4ce-3bc5-472c-b8cb-6dcb0978bb08,1,N,N,N,N,2025-11-11 23:33:05.26+05:30,0,N,N,N,N,N,2025-11-11 23:33:00+05:30,1,N,N,0,N,2025-11-11 23:33:05.26+05:30,2025-11-11 23:33:00+05:30,N,0,N,N,N,N,N,N,N,N,N,4,N,N,N,N
2026-01-20 16:05:33.973333+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,28cf0c04-0a99-400c-b669-7916ac57168e,1,N,N,N,Initial Request,2026-01-17 07:26:42.04+05:30,265,N,N,N,N,N,2026-01-17 07:27:00+05:30,2,N,N,0,2026-01-20 15:38:00+05:30,2026-01-20 15:37:27.707+05:30,2026-01-20 15:38:00+05:30,N,1,N,0.00,2026-01-17 07:26:48.697+05:30,N,N,N,N,0,2026-01-20 15:37:27.707+05:30,32,N,N,N,N
2025-11-11 23:36:14.043333+05:30,N,0,N,N,N,N,N,f,f,f,t,t,f,f,t,f,N,N,N,1,N,N,f54c1f3b-5f55-4932-9969-851fe602f61b,1,N,N,N,N,2025-11-09 16:11:51.287+05:30,0,N,N,N,N,N,2025-11-09 16:12:00+05:30,1,N,N,0,N,2025-11-09 16:11:55.61+05:30,2025-11-09 16:12:00+05:30,N,0,N,50.00,2025-11-09 16:11:54.937+05:30,N,N,N,N,N,N,32,N,N,N,N
2024-10-31 01:27:19.203333+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,15f7178a-7e7b-453f-8aa3-945a9afc353f,1,N,N,N,Initial Request,2024-09-13 16:31:14.393+05:30,314,N,N,N,N,N,2024-09-13 16:31:00+05:30,2,N,N,0,N,2024-09-13 16:31:14.393+05:30,2024-09-21 13:01:00+05:30,2024-09-21 04:29:00+05:30,0,N,N,N,N,N,N,N,N,N,65538,N,N,N,N
2026-01-19 20:25:48.45+05:30,N,0,N,N,N,N,N,f,f,f,t,t,f,f,t,f,N,N,N,1,N,N,81c7b2e1-8dc0-4030-9e03-a17cecbfebbc,1,N,N,N,N,2026-01-19 20:11:21.027+05:30,0,N,N,N,N,N,2026-01-19 20:11:00+05:30,1,N,N,0,N,2026-01-19 20:11:24.73+05:30,2026-01-19 20:11:00+05:30,N,0,N,0.00,2026-01-19 20:11:24.313+05:30,N,N,N,N,N,N,32,N,N,N,N
2025-11-11 23:36:14.043333+05:30,N,0,N,N,N,N,N,f,f,f,t,t,f,f,f,f,N,N,N,1,N,N,6bffd129-df3f-42d5-9a5b-a3ca8469fc31,1,N,N,N,N,2025-11-09 16:11:57.42+05:30,0,N,N,N,N,2025-11-11 23:33:40.72+05:30,2025-11-09 16:12:00+05:30,1,N,N,0,N,2025-11-11 23:33:40.75+05:30,2025-11-11 23:34:00+05:30,N,0,t,N,2025-11-09 16:11:57.767+05:30,N,N,N,N,N,2025-11-11 23:33:16.22+05:30,64,N,N,N,N
2025-09-12 01:09:00.36+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,06347f8b-c455-42c9-bf07-a3f8b0ef9f50,1,N,N,N,Initial Request,2025-09-12 00:06:06.19+05:30,898,N,N,N,N,N,2025-09-12 00:06:00+05:30,2,N,N,0,N,2025-09-12 00:06:07.38+05:30,2025-09-12 00:06:00+05:30,N,0,N,N,2025-09-12 00:06:06.82+05:30,N,N,N,N,0,N,16,N,N,N,N
2025-11-11 23:36:14.043333+05:30,N,0,N,N,N,N,N,f,f,f,t,t,f,f,t,f,N,N,N,1,N,N,474d58c2-0341-4203-930c-a804662b9690,1,N,N,N,N,2025-11-11 23:33:00.23+05:30,0,N,N,N,N,N,2025-11-11 23:33:00+05:30,1,N,N,0,N,2025-11-11 23:33:03.667+05:30,2025-11-11 23:33:00+05:30,N,0,N,34.00,2025-11-11 23:33:03.23+05:30,N,N,N,N,N,N,32,N,N,N,N
2025-08-26 01:33:56.473333+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,0ace522b-e0c6-4319-8dd9-b1bf2bc1cd27,1,N,N,N,Initial Request,2025-08-26 00:07:19.317+05:30,658,N,N,N,N,N,2025-08-26 00:07:00+05:30,2,N,N,0,N,2025-08-26 00:07:24.53+05:30,2025-08-26 00:07:00+05:30,N,0,N,N,2025-08-26 00:07:23.09+05:30,N,N,N,N,0,N,16,N,N,N,N
2025-03-04 16:56:41.766666+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,c6f955b2-8099-4012-b4ac-b2625c4adc51,1,N,N,N,Event is automatically requested upon session request,2025-03-04 15:35:33.667+05:30,389,N,N,N,N,N,2025-03-04 15:36:00+05:30,6,N,N,0,N,2025-03-04 15:35:33.667+05:30,2025-03-04 15:36:00+05:30,N,0,N,N,N,N,N,N,N,N,N,2097152,N,N,N,N
2025-05-03 15:01:14.236666+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,3bc886c0-2e66-451f-a43e-d72d6cfb0ca5,1,N,N,N,Initial Request,2025-04-12 22:17:42.91+05:30,176,N,N,N,N,N,2025-04-12 22:18:00+05:30,2,N,N,0,N,2025-04-12 22:17:42.91+05:30,2025-05-03 13:01:00+05:30,2025-05-02 23:59:00+05:30,0,N,N,N,N,N,N,N,N,N,65540,N,N,N,N
2025-11-16 14:54:57.136666+05:30,N,0,N,N,N,N,N,f,f,f,t,t,f,f,f,f,N,N,N,1,N,N,c9e78300-0f2b-43d2-b4f4-db16606971de,1,N,N,N,N,2025-11-09 16:11:56.203+05:30,0,N,N,N,N,N,2025-11-09 16:12:00+05:30,1,N,N,0,2025-11-16 13:54:00+05:30,2025-11-09 16:12:44.793+05:30,2025-11-16 13:53:00+05:30,N,25,N,0.00,2025-11-09 16:11:56.86+05:30,N,N,N,N,0,2025-11-09 16:12:44.793+05:30,32,N,N,N,N
2025-11-19 23:58:10.266666+05:30,N,0,N,N,N,N,N,f,f,f,t,t,f,f,f,f,N,N,N,1,N,N,363b4d8d-4488-473a-a1c9-fed9df509435,1,N,N,N,N,2025-11-11 23:33:04.243+05:30,0,N,N,N,N,N,2025-11-11 23:33:00+05:30,1,N,N,0,2025-11-19 22:39:00+05:30,2025-11-11 23:34:02.297+05:30,2025-11-19 22:14:00+05:30,N,34,N,0.00,2025-11-11 23:33:04.883+05:30,N,N,N,N,0,2025-11-11 23:34:02.297+05:30,32,N,N,N,N
2026-02-21 16:04:15.58+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,b25662b8-15d4-4328-a602-17738df96f11,2,N,N,N,Initial Request,2026-01-22 02:03:51.09+05:30,1008,N,N,N,N,N,2026-01-22 02:04:00+05:30,2,N,N,0,N,2026-01-22 02:03:51.513+05:30,2026-02-21 14:01:00+05:30,2026-02-21 13:29:00+05:30,0,N,N,N,N,N,N,N,N,N,65540,N,N,N,N
2026-02-21 16:04:15.58+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,01ea5674-c3cf-421f-9123-18c154a1afd9,2,N,N,N,Initial Request,2026-01-22 02:10:27.63+05:30,1008,N,N,N,N,N,2026-01-22 02:10:00+05:30,2,N,N,0,N,2026-01-22 02:10:28.02+05:30,2026-02-21 14:01:00+05:30,2026-02-21 13:29:00+05:30,0,N,N,2026-01-22 02:10:27.987+05:30,N,N,N,N,N,N,65552,N,N,N,N
2026-02-21 16:04:15.58+05:30,N,0,N,N,N,N,N,t,f,f,t,t,f,f,t,f,N,N,N,1,N,N,439d53e7-9648-49ff-8f2f-19720ca6dde5,2,N,N,N,Initial Request,2026-01-22 02:10:31.597+05:30,1008,N,N,N,N,N,2026-01-22 02:11:00+05:30,2,N,N,0,N,2026-01-22 02:10:32.017+05:30,2026-02-21 14:01:00+05:30,2026-02-21 13:29:00+05:30,0,N,N,2026-01-22 02:10:31.85+05:30,N,N,N,N,0,N,65552,N,N,N,N
